Sex,Name,Number in 2025,Rank in 2025,Rank in 2024,Rank in 2010s,Rank in 2000s,Rank in 1990s,Rank in 1980s,Rank in 1970s,Change in Ranking 2024-2025
Boy,Noah,318,1,1,12,112,475,1108,934,0
Boy,Luca,302,2,6,85,140,383,623,763,4
Boy,Rory,301,3,3,24,57,69,94,105,0
Boy,Muhammad,291,4,2,55,121,189,194,233,-2
Boy,Oliver,269,5,7,4,53,120,124,147,2
Boy,Theo,243,6,4,60,199,403,663,763,-2
Boy,Leo,236,7,5,17,84,264,290,287,-2
Boy,Archie,222,8,10,27,79,290,332,291,2
Boy,Finlay,216,9,11,13,29,103,158,191,2
Boy,Harris,211,10,9,15,88,211,473,1369,-1
Boy,Jude,206,11,12,67,131,835,589,416,1
Boy,Freddie,201,12,25,87,334,835,818,[k],13
Boy,Jack,200,13,7,1,1,14,107,151,-6
Boy,James,199,14,14,2,5,5,5,4,0
Boy,Brodie,194,15,16,40,106,188,389,473,1
Boy,Charlie,167,16,19,8,55,163,539,934,3
Boy,Alfie,167,16,15,14,86,622,1408,1369,-1
Boy,Finn,159,18,17,45,91,212,473,473,-1
Boy,Arthur,158,19,24,101,327,332,209,138,5
Boy,Oscar,157,20,22,37,124,285,589,572,2
Boy,Thomas,155,21,20,19,20,27,21,25,-1
Boy,Alexander,151,22,12,6,19,34,33,33,-10
Boy,Lewis,151,22,28,3,2,17,78,113,6
Boy,Arlo,146,24,18,134,632,[k],[k],1369,-6
Boy,Max,143,25,29,18,58,121,250,365,4
Boy,Sonny,137,26,44,107,171,337,517,524,18
Boy,Harrison,137,26,40,46,130,244,491,[k],14
Boy,Tommy,137,26,20,137,239,256,290,279,-6
Boy,Lucas,131,29,23,10,64,241,491,1369,-6
Boy,Albie,123,30,32,300,1856,[k],[k],[k],2
Boy,Harry,120,31,31,9,50,100,143,158,0
Boy,Adam,114,32,42,20,12,32,46,73,10
Boy,Roman,112,33,46,165,357,980,1408,934,13
Boy,Angus,112,33,38,63,71,96,109,89,5
Boy,Logan,111,35,29,5,24,145,334,416,-6
Boy,Callan,109,36,36,108,186,274,663,934,0
Boy,Louie,107,37,45,133,215,448,589,934,8
Boy,Reuben,107,37,38,95,175,326,473,416,1
Boy,Theodore,102,39,36,176,357,391,663,572,-3
Boy,Kai,101,40,56,47,63,191,349,473,16
Boy,Mason,100,41,25,22,120,273,1408,934,-16
Boy,Blake,100,41,41,76,184,271,441,[k],0
Boy,Daniel,99,43,52,7,7,9,28,49,9
Boy,Myles,99,43,35,183,249,264,273,256,-8
Boy,Jacob,98,45,27,21,80,129,301,303,-18
Boy,Hudson,96,46,55,246,1197,[k],[k],[k],9
Boy,Rowan,94,47,65,203,204,218,318,323,18
Boy,Cameron,92,48,33,23,4,23,81,87,-15
Boy,Caleb,91,49,42,51,111,245,589,635,-7
Boy,George,88,50,48,69,92,88,51,38,-2
Boy,Liam,81,51,47,29,8,15,56,94,-4
Boy,Ruaridh,80,52,85,84,160,151,194,323,33
Boy,William,80,52,66,35,37,35,17,17,14
Boy,Hunter,79,54,52,92,522,622,818,572,-2
Boy,Ethan,78,55,52,11,38,140,818,1369,-3
Boy,Ollie,77,56,34,56,292,[k],[k],[k],-22
Boy,Isaac,77,56,49,70,139,226,349,442,-7
Boy,Nathan,77,56,62,30,23,48,119,141,6
Boy,Elijah,76,59,76,157,397,700,[k],1369,17
Boy,Ronan,75,60,75,197,164,133,290,402,15
Boy,Arran,75,60,51,64,73,131,221,311,-9
Boy,Hamish,74,62,69,86,103,122,149,120,7
Boy,Blair,74,62,59,80,68,63,96,134,-3
Boy,Cole,73,64,66,54,90,332,1108,[k],2
Boy,Joseph,71,65,82,49,45,53,50,52,17
Boy,Samuel,71,65,69,43,41,60,88,93,4
Boy,Michael,71,65,66,50,28,7,10,13,1
Boy,Callum,70,68,62,25,6,22,64,104,-6
Boy,Grayson,70,68,62,186,1856,[k],2110,[k],-6
Boy,Luke,69,70,50,39,31,72,112,161,-20
Boy,Cody,69,70,80,97,150,410,1108,1369,10
Boy,Lochlan,68,72,60,150,288,662,[k],[k],-12
Boy,Nico,67,73,104,238,295,253,463,1369,31
Boy,Ruairidh,67,73,56,142,159,125,193,284,-17
Boy,Joey,66,75,103,159,403,1246,818,934,28
Boy,Reggie,66,75,91,337,1856,1900,[k],[k],16
Boy,Joshua,66,75,60,33,25,52,135,334,-15
Boy,Jamie,66,75,87,30,9,12,23,46,12
Boy,Cooper,65,79,121,79,217,568,[k],[k],42
Boy,Lachlan,65,79,88,110,154,195,272,246,9
Boy,Carter,65,79,72,99,333,835,[k],[k],-7
Boy,Matthew,65,79,73,26,10,20,40,51,-6
Boy,Louis,64,83,98,114,85,127,184,213,15
Boy,Riley,64,83,85,32,123,568,1408,1369,2
Boy,Elliot,62,85,102,103,124,137,185,199,17
Boy,Oakley,61,86,110,492,937,1498,[k],[k],24
Boy,Robert,61,86,80,59,39,24,12,9,-6
Boy,Teddy,60,88,76,233,1121,1900,[k],[k],-12
Boy,Henry,60,88,95,116,187,186,129,110,7
Boy,Murray,60,88,88,66,82,98,100,91,0
Boy,Fergus,59,91,104,139,132,150,162,143,13
Boy,David,58,92,71,44,22,3,1,1,-21
Boy,Austin,58,92,84,130,237,268,254,176,-8
Boy,Jax,58,92,91,154,2181,2742,[k],[k],-1
Boy,Vinnie,56,95,165,476,1197,2742,[k],[k],70
Boy,Aaron,56,95,114,16,18,47,87,108,19
Boy,Leon,55,97,56,61,77,175,171,149,-41
Boy,Frankie,54,98,98,158,381,485,441,572,0
Boy,Robbie,52,99,98,75,47,65,116,183,-1
Boy,Cillian,51,100,83,240,687,1900,2110,[k],-17
Boy,Ellis,51,100,104,136,172,228,562,442,4
Girl,Freya,268,1,3,14,41,231,419,578,2
Girl,Isla,253,2,2,4,26,127,197,163,0
Girl,Olivia,251,3,1,3,14,75,335,330,-2
Girl,Amelia,204,4,7,9,83,303,438,474,3
Girl,Grace,200,5,13,12,28,144,236,209,8
Girl,Emily,196,6,7,2,8,30,114,133,1
Girl,Millie,195,7,5,18,42,472,[k],2281,-2
Girl,Lily,193,8,4,8,46,302,806,741,-4
Girl,Sophia,181,9,6,15,108,237,306,378,-3
Girl,Rosie,177,10,16,44,96,154,492,888,6
Girl,Maisie,169,11,18,34,126,580,2001,1607,7
Girl,Sophie,168,12,17,1,1,22,150,279,5
Girl,Ava,166,13,11,5,30,630,1488,976,-2
Girl,Ella,164,14,9,11,61,352,785,976,-5
Girl,Charlotte,164,14,10,16,34,55,119,144,-4
Girl,Ivy,144,16,14,80,871,2096,1488,1299,-2
Girl,Sofia,142,17,22,51,183,602,571,1110,5
Girl,Evie,141,18,14,26,76,483,3801,2281,-4
Girl,Hallie,137,19,31,118,581,2518,[k],[k],12
Girl,Maya,136,20,19,60,120,452,919,1299,-1
Girl,Elsie,135,21,31,105,507,2518,1691,741,10
Girl,Orla,134,22,19,31,92,380,1334,1110,-3
Girl,Harper,130,23,21,50,1976,3187,[k],[k],-2
Girl,Maeve,130,23,25,363,507,731,763,741,2
Girl,Aria,127,25,23,32,651,2096,3801,[k],-2
Girl,Daisy,126,26,27,40,75,281,729,976,1
Girl,Willow,125,27,29,63,336,1842,3801,2281,2
Girl,Eilidh,119,28,38,21,25,35,102,169,10
Girl,Lottie,116,29,37,204,736,2518,3801,[k],8
Girl,Ruby,115,30,34,23,56,380,785,702,4
Girl,Isabella,114,31,50,36,124,358,464,233,19
Girl,Bonnie,112,32,11,126,414,468,515,645,-21
Girl,Gracie,112,32,51,69,190,2096,3801,2281,19
Girl,Mia,111,34,26,19,31,348,1049,1607,-8
Girl,Poppy,109,35,24,30,106,363,883,1607,-11
Girl,Sienna,101,36,41,62,212,4648,3801,[k],5
Girl,Lucy,100,37,28,7,7,33,75,107,-9
Girl,Esme,98,38,33,68,248,542,958,976,-5
Girl,Georgia,97,39,51,39,64,100,533,474,12
Girl,Mila,95,40,30,73,651,3187,3801,[k],-10
Girl,Ayla,93,41,39,84,356,826,1004,[k],-2
Girl,Arabella,92,42,57,255,736,1423,1691,1110,15
Girl,Layla,91,43,41,29,151,609,481,494,-2
Girl,Robyn,90,44,48,58,58,44,173,486,4
Girl,Aurora,89,45,55,183,803,1184,[k],1299,10
Girl,Remi,88,46,55,341,1136,1665,[k],[k],9
Girl,Phoebe,87,47,46,85,130,253,883,2281,-1
Girl,Ellie,85,48,35,10,6,108,1488,2281,-13
Girl,Jessica,81,49,48,6,18,48,169,269,-1
Girl,Lyla,77,50,68,160,483,3187,1488,[k],18
Girl,Ada,76,51,44,172,983,3187,3801,1607,-7
Girl,Alice,75,52,76,61,98,88,186,183,24
Girl,Zoe,75,52,76,42,31,43,110,88,24
Girl,Florence,74,54,90,131,372,584,806,623,36
Girl,Anna,74,54,53,27,24,52,79,89,-1
Girl,Zara,71,56,36,52,74,191,225,645,-20
Girl,Molly,71,56,68,47,31,111,763,976,12
Girl,Mabel,70,58,83,456,1238,4648,2551,888,25
Girl,Sadie,69,59,87,119,248,698,785,645,28
Girl,Skye,67,60,45,37,44,240,919,1607,-15
Girl,Callie,66,61,47,112,271,528,806,[k],-14
Girl,Emilia,65,62,57,67,271,998,1691,2281,-5
Girl,Alba,65,62,66,160,763,1842,2551,[k],4
Girl,Violet,64,64,41,123,462,1423,1128,506,-23
Girl,Hannah,64,64,66,22,10,12,69,184,2
Girl,Nina,62,66,97,109,189,279,267,262,31
Girl,Maeva,62,66,70,2666,3035,4648,[k],[k],4
Girl,Summer,61,68,96,56,95,495,2001,1607,28
Girl,Thea,60,69,65,92,385,668,883,741,-4
Girl,Fiadh,59,70,73,743,[k],[k],[k],[k],3
Girl,Penelope,58,71,81,154,871,932,637,324,10
Girl,Eva,58,71,62,20,38,242,386,330,-9
Girl,Rose,58,71,63,75,163,262,314,267,-8
Girl,Nova,56,74,59,277,3035,2518,[k],888,-15
Girl,Myla,56,74,70,153,1046,4648,[k],[k],-4
Girl,Niamh,56,74,76,41,21,103,919,1607,2
Girl,Cora,54,77,60,132,404,769,826,602,-17
Girl,Holly,54,77,79,24,17,40,125,363,2
Girl,Margot,53,79,124,581,3035,1665,1049,976,45
Girl,Quinn,53,79,120,146,1393,1665,[k],[k],41
Girl,Romy,52,81,63,480,562,648,1228,2281,-18
Girl,Clara,51,82,83,136,251,406,503,702,1
Girl,Lilly,50,83,138,55,221,1665,[k],[k],55
Girl,Chloe,50,83,39,13,3,9,166,449,-44
Girl,Eden,50,83,60,122,217,403,1691,2281,-23
Girl,Evelyn,49,86,120,168,366,440,237,159,34
Girl,Rosa,49,86,108,172,318,519,785,1299,22
Girl,Nora,49,86,73,379,1194,1534,763,578,-13
Girl,Imogen,49,86,97,74,127,266,583,583,11
Girl,Iona,49,86,83,65,50,78,197,209,-3
Girl,Eloise,48,91,124,228,276,459,669,741,33
Girl,Heidi,48,91,95,100,225,594,364,242,4
Girl,Matilda,47,93,148,101,256,874,1128,976,55
Girl,Emma,46,94,53,17,2,1,5,23,-41
Girl,Mollie,46,94,124,93,155,369,1691,2281,30
Girl,Flora,46,94,102,176,321,310,451,414,8
Girl,Annie,46,94,87,119,175,215,327,321,-7
Girl,Hazel,46,94,97,233,206,118,85,64,3
Girl,Mirren,45,99,106,102,169,477,1228,2281,7
Girl,Darcy,44,100,152,94,193,445,3801,2281,52
Girl,Billie,44,100,131,282,259,273,571,602,31
Girl,Lilah,44,100,108,447,1470,3187,[k],[k],8
Girl,Lucia,44,100,93,133,263,528,637,623,-7